Product Name,Price,Ratings
ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / GJ...,"₹16,990₹24,99032% off",3.5669 Ratings & 63 Reviews
ASUS Chromebook Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-EJ0241 Chromeb...,"₹18,990₹32,99042% off",3.9227 Ratings & 21 Reviews
Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Lapt...,"₹26,990₹43,99938% off","4.24,270 Ratings & 394 Reviews"
Ultimus Celeron Dual Core - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-SG Thin and Light...,"₹10,990₹24,99056% off","3.31,679 Ratings & 243 Reviews"
HP 255 G9 840T7PA Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Thin and Light Laptop,"₹19,860₹30,09934% off",3.9568 Ratings & 47 Reviews
HP Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU Thin and Light Laptop,"₹35,999₹47,20723% off",3.874 Ratings & 8 Reviews
HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop,"₹29,990₹35,14714% off","4.13,144 Ratings & 259 Reviews"
ASUS Chromebook Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1400CKA-EK0266 Chrome...,"₹20,990₹32,99036% off",3.575 Ratings & 10 Reviews
Infinix INBook Y1 Plus Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...,"₹25,990₹49,99048% off","4.23,553 Ratings & 444 Reviews"
Lenovo Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop,"₹49,990₹90,00044% off",4513 Ratings & 46 Reviews
ASUS Chromebook Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0002 / GJ...,"₹17,990₹24,99028% off",3.6913 Ratings & 90 Reviews
Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows ...,"₹26,990₹49,99946% off",4.2282 Ratings & 52 Reviews
HP 2023 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Lapto...,"₹33,490₹39,99516% off","4.23,380 Ratings & 308 Reviews"
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/512 GB SSD/Windows 11 Home) XL3...,"₹23,990₹26,3909% off","43,017 Ratings & 441 Reviews"
DELL Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light ...,"₹36,990₹61,43139% off",4.2698 Ratings & 83 Reviews
Acer Extensa Core i3 N305 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook,"₹28,990₹43,99934% off",4.2178 Ratings & 27 Reviews
ASUS Chromebook Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1400CKA-EK0335 Chrome...,"₹19,990₹32,99039% off",3.583 Ratings & 5 Reviews
Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows ...,"₹31,990₹59,99946% off",4.2529 Ratings & 122 Reviews
DELL Inspiron Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Notebook,"₹38,490₹58,80034% off",3.79 Ratings & 0 Reviews
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 250 G8 Thin and Light Laptop,"₹33,425₹44,25324% off",4.1462 Ratings & 38 Reviews
Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows ...,"₹31,990₹59,99946% off",4.2529 Ratings & 122 Reviews
Wings Nuvobook Pro Aluminium Alloy Metal Body Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/Window...,"₹46,990₹89,99947% off",457 Ratings & 13 Reviews
ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ542WS Thin and ...,"₹43,990₹62,99030% off","4.37,245 Ratings & 547 Reviews"
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) fq1089au Thin and Light Laptop,"₹35,727₹47,71625% off","4.33,084 Ratings & 372 Reviews"
